id;street_name;street_name_ua;number
9;Абрикосовая;Абрикосова;1
10;Абрикосовая;Абрикосова;1/1
11;Абрикосовая;Абрикосова;1/2
12;Абрикосовая;Абрикосова;1/3
13;Абрикосовая;Абрикосова;3
14;Абрикосовая;Абрикосова;4
15;Абрикосовая;Абрикосова;5
16;Абрикосовая;Абрикосова;6
17;Абрикосовая;Абрикосова;7
18;Абрикосовая;Абрикосова;8
19;Абрикосовая;Абрикосова;9
20;Абрикосовая;Абрикосова;10
21;Абрикосовая;Абрикосова;11
22;Абрикосовая;Абрикосова;12
23;Абрикосовая;Абрикосова;13
24;Абрикосовая;Абрикосова;14
25;Абрикосовая;Абрикосова;15
26;Абрикосовая;Абрикосова;16
27;Абрикосовая;Абрикосова;17
28;Абрикосовая;Абрикосова;18
29;Абрикосовая;Абрикосова;19
30;Абрикосовая;Абрикосова;21
31;Абрикосовая;Абрикосова;23
32;Абрикосовая;Абрикосова;25
33;Абрикосовая;Абрикосова;27
34;Абрикосовая;Абрикосова;29
35;Абрикосовая;Абрикосова;31
36;Абрикосовая;Абрикосова;33
37;Абрикосовая;Абрикосова;35
38;Абрикосовая;Абрикосова;37
39;Абрикосовая;Абрикосова;39
40;Абрикосовая;Абрикосова;41
41;Абрикосовая;Абрикосова;43
42;Абрикосовая;Абрикосова;45
43;Абрикосовая;Абрикосова;47
44;Абрикосовая;Абрикосова;49
45;Абрикосовая;Абрикосова;51
46;Абрикосовая;Абрикосова;55
47;Абрикосовая;Абрикосова;57
48;Абрикосовая;Абрикосова;61
49;Абрикосовая;Абрикосова;65
50;Абрикосовая;Абрикосова;69
51;Абрикосовая;Абрикосова;71
52;Абрикосовая;Абрикосова;75
53;Абрикосовая;Абрикосова;77
54;Абрикосовая;Абрикосова;87
55;Абрикосовая;Абрикосова;87а
56;Абрикосовая;Абрикосова;89
57;Абрикосовая;Абрикосова;91
58;Абрикосовая;Абрикосова;93
59;Абрикосовая;Абрикосова;95
60;Абрикосовая;Абрикосова;97
61;Абрикосовая;Абрикосова;97а
62;Абрикосовая;Абрикосова;99
63;Абрикосовая;Абрикосова;101
64;Абрикосовая;Абрикосова;103
65;Абрикосовая;Абрикосова;105
66;Абрикосовая;Абрикосова;105а
67;Абрикосовая;Абрикосова;107
235;Абрикосовая (7-й км);Абрикосова (7-й км);1
236;Абрикосовая (7-й км);Абрикосова (7-й км);2
237;Абрикосовая (7-й км);Абрикосова (7-й км);3
238;Абрикосовая (7-й км);Абрикосова (7-й км);4
239;Абрикосовая (7-й км);Абрикосова (7-й км);5
240;Абрикосовая (7-й км);Абрикосова (7-й км);6
241;Абрикосовая (7-й км);Абрикосова (7-й км);7
242;Абрикосовая (7-й км);Абрикосова (7-й км);8
243;Абрикосовая (7-й км);Абрикосова (7-й км);9
244;Абрикосовая (7-й км);Абрикосова (7-й км);10
245;Абрикосовая (7-й км);Абрикосова (7-й км);11
246;Абрикосовая (7-й км);Абрикосова (7-й км);12
247;Абрикосовый переулок;Абрикосовий провулок;3
248;Абрикосовый переулок;Абрикосовий провулок;7
249;Абрикосовый переулок;Абрикосовий провулок;13
250;Абрикосовый переулок;Абрикосовий провулок;15
251;Абрикосовый переулок;Абрикосовий провулок;17
252;Абрикосовый переулок;Абрикосовий провулок;19
253;Абрикосовый переулок;Абрикосовий провулок;21
254;Абрикосовый переулок;Абрикосовий провулок;25
255;Абрикосовый переулок;Абрикосовий провулок;27
256;Абрикосовый переулок;Абрикосовий провулок;29
257;Авангардная;Авангардна;1
258;Авангардная;Авангардна;2
259;Авангардная;Авангардна;3
260;Авангардная;Авангардна;4
261;Авангардная;Авангардна;5
262;Авангардная;Авангардна;6
263;Авангардная;Авангардна;7
264;Авангардная;Авангардна;8
265;Авангардная;Авангардна;9
266;Авангардная;Авангардна;10
267;Авангардная;Авангардна;11
268;Авангардная;Авангардна;12
269;Авангардная;Авангардна;13
270;Авангардная;Авангардна;14
271;Авангардная;Авангардна;15
272;Авангардная;Авангардна;16
273;Авангардная;Авангардна;17
274;Авангардная;Авангардна;18
275;Авангардная;Авангардна;19
276;Авангардная;Авангардна;20
277;Авангардная;Авангардна;21
